x,y,z,s,layer_index,turn_index,B_at_600A_T,angle_at_600A_deg,quench_current_A,status
0.001264877467355323,0.06260384170904058,0.008,0.031264877467355325,1,381,6.767796040750458,121.876185974933,539.9635849523056,ok
0.001264877467355323,0.06494759170904059,0.008333333333333333,0.031264877467355325,0,381,6.207816188666661,115.23709226803014,578.9402550875944,ok
0.0025996244484891144,0.06351138015006799,0.007666666666666667,0.032599624448489115,1,381,6.578422362752536,115.1827394217584,566.6017010463705,ok
0.002916641153414333,0.05934180753529535,0.008333333333333333,0.03291664115341433,0,381,3.7164792647403613,176.96090407820827,,never_quenched
0.0013347469811337913,0.06497003844102742,0.007,0.03133474698113379,1,381,6.066964881531933,102.72974205275122,,never_quenched
0.004251388134548124,0.06024934597632277,0.008,0.03425138813454812,1,381,3.5143753924986716,175.35428664067103,,never_quenched
0.002916641153414333,0.05934180753529535,0.009,0.03291664115341433,0,381,5.347203903446924,176.9478362193198,550.4611742728553,ok
0.0026284915156220764,0.06346038787821924,0.006666666666666666,0.032628491515622075,1,381,6.23340241803597,106.69046012944956,,never_quenched
0.001293744534488285,0.06255284943719183,0.006333333333333333,0.031293744534488285,1,381,6.041862494972329,103.03815706022725,,never_quenched
0.0019491294363221277,0.05604543458407661,0.010666666666666666,0.031949129436322124,0,381,9.211997316996822,144.8267533567211,444.337209931942,ok
0.003283876417455919,0.05929672302510403,0.011,0.03328387641745592,0,381,7.299520430355432,174.94332172962703,490.2721062430044,ok
0.001058184160873327,0.06304157008565067,0.010666666666666666,0.031058184160873324,0,381,8.750670089297271,143.68930030359067,455.62062067711236,ok
0.0023929311420071184,0.0639491085266781,0.011,0.032392931142007114,0,381,8.367435282390236,143.79107808032907,464.14662278957593,ok
0.001058184160873327,0.06304157008565066,0.009666666666666667,0.031058184160873324,0,381,7.752800504841166,133.87304939166097,488.9796512346372,ok
0.0010581841608733272,0.06304157008565067,0.012,0.031058184160873328,0,381,9.552660523935922,149.0611583764463,435.4511083560527,ok
0.003139877467355317,0.0672913417090406,0.008333333333333333,0.03313987746735532,0,381,10.087362438133495,100.86264360823117,,never_quenched
0.00232306162822865,0.06392666179469127,0.009,0.03232306162822865,0,381,6.900775807927604,124.38224913424871,526.6710448212932,ok
0.004474624448489108,0.06585513015006801,0.008,0.03447462444848911,1,381,10.466082427476124,106.55868433845433,542.6178428924827,ok
0.00165176368605901,0.056112965826254746,0.008333333333333333,0.03165176368605901,0,381,6.297868598582193,127.34442452248244,537.5490063796616,ok
0.0032097469811337848,0.06731378844102742,0.007,0.033209746981133784,1,381,10.51832872192952,94.31624210707525,,never_quenched
0.004935640103514929,0.0583784388513588,0.007666666666666666,0.03493564010351493,1,381,3.154107602664061,177.58735139008124,,never_quenched
0.00710099360389496,0.06108535359738322,0.008,0.03710099360389496,1,381,3.5321301446685416,159.0846179017146,,never_quenched
0.00165176368605901,0.056112965826254746,0.009333333333333332,0.03165176368605901,0,381,7.22746592978039,135.80246172305115,500.08772807093413,ok
0.00232306162822865,0.061582911794691254,0.009333333333333332,0.03232306162822865,0,381,7.1819918303820085,143.16523749157412,493.5732291702753,ok
0.005274377796907648,0.059945587877898034,0.009333333333333332,0.03527437779690765,0,381,4.122677034137736,167.72862416403234,,never_quenched
0.0045034915156220694,0.06580413787821923,0.006333333333333333,0.03450349151562207,1,381,10.671289801087797,93.29835926574162,,never_quenched
0.004577620951944204,0.06013082246229587,0.006999999999999999,0.0345776209519442,1,381,2.5414570414470985,178.25274444953772,,never_quenched
0.001293744534488285,0.06255284943719183,0.005666666666666667,0.031293744534488285,1,381,5.934591441943573,97.3291762641127,,never_quenched
0.003074967206929724,0.05897214425524679,0.006333333333333333,0.03307496720692972,1,381,1.6164562062006445,160.6342358848771,,never_quenched
0.0019491294363221277,0.053701684584076606,0.011,0.031949129436322124,0,381,9.026577464286847,144.22339487695368,449.00162493270597,ok
0.004033541410337495,0.054778877141177046,0.010333333333333333,0.034033541410337494,0,381,8.883089137190197,138.68537053416503,458.0250685910305,ok
0.0023929311420071184,0.061605358526678075,0.010666666666666666,0.032392931142007114,0,381,8.02156811932541,147.56144375661253,470.1469529351188,ok
0.003283876417455919,0.05929672302510403,0.011666666666666665,0.03328387641745592,0,381,8.800074033518738,177.1408461136956,456.7396839222219,ok
0.005641613060949234,0.05990050336770672,0.010666666666666665,0.035641613060949234,0,381,8.222060614553143,173.24718483468268,467.93206411812383,ok
0.001949129436322128,0.05604543458407661,0.013666666666666667,0.031949129436322124,0,381,13.162370595063729,156.67555702523882,392.51029293821716,ok
0.001058184160873327,0.06538532008565066,0.010333333333333333,0.031058184160873324,0,381,6.984939592741677,126.85806511056735,518.8759123633495,ok
0.002392931142007119,0.06394910852667808,0.011666666666666665,0.032392931142007114,0,381,8.32008732695249,145.03616927719744,464.00670361009554,ok
0.004267931142007112,0.06629285852667809,0.010999999999999998,0.03426793114200711,0,381,10.80668216357065,129.00713758441688,435.3381806558332,ok
0.001058184160873327,0.06538532008565066,0.009333333333333334,0.031058184160873324,0,381,6.669579523376367,117.5251812017949,556.8963754293582,ok
0.0010581841608733272,0.06538532008565066,0.012333333333333335,0.031058184160873328,0,381,8.197089347107642,145.00571506530056,466.8998403658996,ok
0.002392931142007119,0.061605358526678075,0.012,0.032392931142007114,0,381,9.878741271181287,158.61210131372113,430.41121585195384,ok
0.007785245572861765,0.059214446472419247,0.007666666666666667,0.03778524557286177,1,381,3.0521049148160735,150.84162452832396,,never_quenched
0.0037361756600743775,0.05484640838335518,0.009666666666666667,0.03373617566007438,0,381,10.14977681231347,141.906036148741,430.9250946637744,ok
0.007390120951944196,0.06085077483020006,0.006666666666666666,0.037390120951944196,1,381,2.588511904194596,154.7929928202048,,never_quenched
0.0019491294363221277,0.05604543458407661,0.011666666666666665,0.031949129436322124,0,381,10.339385993868726,149.30982328196288,422.7350104393953,ok
0.0032838764174559195,0.05929672302510403,0.013666666666666667,0.03328387641745592,0,381,11.6026907560493,171.66107518885747,407.4296944639085,ok
0.002392931142007119,0.061605358526678075,0.013333333333333336,0.032392931142007114,0,381,11.198507102696896,161.52442937578806,410.27848042943737,ok
0.0010581841608733272,0.06304157008565067,0.013333333333333336,0.031058184160873328,0,381,11.496955204117583,158.5489101149431,404.9073772304973,ok
0.0020844119740153675,0.053420942557100407,0.013000000000000005,0.03208441197401537,0,381,12.25641714388946,152.11731463533584,395.45301068992745,ok
0.0013347469811337916,0.06497003844102742,0.004999999999999999,0.03133474698113379,1,381,6.288564809691711,84.08616187466642,,never_quenched
