Temperature (K),Applied field (T),Applied field angle (°),𝘯-value
19.98,0.02,175,27.7
19.99,0.02,180,27.94
19.98,0.02,185,27.49
19.98,0.02,190,27.53
19.98,0.02,195,27.73
19.99,0.02,200,27.72
19.99,0.02,205,27.67
19.98,0.02,210,27.56
19.98,0.02,215,27.81
19.99,0.02,220,27.84
19.99,0.02,225,27.77
19.99,0.02,230,27.93
19.99,0.02,235,27.71
19.98,0.02,240,27.62
19.99,0.03,0,27.69
19.99,0.03,5,27.8
19.99,0.03,10,27.82
19.99,0.03,15,27.68
19.99,0.03,20,27.72
19.99,0.03,25,27.81
19.99,0.03,30,27.62
19.99,0.03,35,27.91
19.99,0.03,40,27.76
19.98,0.03,45,27.8
19.99,0.03,50,27.67
19.99,0.03,55,27.86
19.98,0.03,60,27.78
19.98,0.03,65,27.68
19.99,0.03,70,27.91
19.99,0.03,75,27.72
19.98,0.03,78,27.72
19.98,0.03,81,27.68
19.98,0.03,84,27.83
19.99,0.03,86,27.76
19.99,0.03,88,27.71
19.98,0.03,90,27.73
19.98,0.03,92,27.79
19.99,0.03,94,27.92
19.98,0.03,96,27.78
19.98,0.03,99,27.59
19.98,0.03,102,27.84
19.99,0.03,105,27.87
19.98,0.03,110,27.77
19.98,0.03,115,27.77
19.98,0.03,120,27.69
19.99,0.03,125,27.9
19.99,0.03,130,27.9
19.98,0.03,135,27.61
19.98,0.03,140,27.6
19.99,0.03,145,27.82
19.99,0.03,150,27.67
19.99,0.03,155,27.9
19.99,0.03,160,27.66
19.99,0.03,165,27.7
19.99,0.03,170,27.64
19.99,0.03,175,27.58
19.99,0.03,180,27.68
19.99,0.03,185,27.79
19.99,0.03,190,27.76
19.99,0.03,195,27.51
19.99,0.03,200,27.56
19.99,0.03,205,28.12
19.99,0.03,210,27.65
19.98,0.03,215,27.63
19.99,0.03,220,27.64
19.99,0.03,225,27.84
19.99,0.03,230,27.78
19.99,0.03,235,27.87
19.99,0.03,240,27.76
19.99,0.05,0,27.81
19.99,0.05,5,27.78
19.99,0.05,10,27.55
19.99,0.05,15,27.95
19.99,0.05,20,27.8
19.99,0.05,25,27.62
19.99,0.05,30,27.79
19.99,0.05,35,27.75
19.99,0.05,40,27.53
19.98,0.05,45,27.56
19.98,0.05,50,27.82
19.99,0.05,55,27.65
19.99,0.05,60,27.76
19.98,0.05,65,27.75
19.98,0.05,70,27.54
19.98,0.05,75,27.79
19.99,0.05,78,27.86
19.98,0.05,81,27.74
19.98,0.05,84,27.83
19.98,0.05,86,27.85
19.98,0.05,88,27.78
19.98,0.05,90,27.94
19.99,0.05,92,27.93
19.98,0.05,94,27.59
19.98,0.05,96,27.8
19.98,0.05,99,27.9
19.98,0.05,102,27.84
19.98,0.05,105,27.83
19.99,0.05,110,27.94
19.99,0.05,115,28.03
19.98,0.05,120,27.73
19.98,0.05,125,27.81
19.98,0.05,130,27.56
19.99,0.05,135,27.51
19.99,0.05,140,27.68
19.99,0.05,145,27.93
19.99,0.05,150,27.71
19.98,0.05,155,27.47
19.98,0.05,160,27.57
19.98,0.05,165,27.41
19.99,0.05,170,27.63
19.98,0.05,175,27.74
19.98,0.05,180,27.36
19.99,0.05,185,27.74
19.99,0.05,190,27.62
