Temperature (K),Applied field (T),Applied field angle (°),Critical current per cm width (A/cm)
19.99,0.02,102,4938.15
19.98,0.02,105,4940.22
19.99,0.02,110,4943.18
19.99,0.02,115,4943.23
19.98,0.02,120,4942.02
19.98,0.02,125,4939.93
19.99,0.02,130,4942.27
19.99,0.02,135,4941.14
19.98,0.02,140,4937.68
19.98,0.02,145,4938
19.99,0.02,150,4938.72
19.99,0.02,155,4937.63
19.98,0.02,160,4938.71
19.98,0.02,165,4938.04
19.98,0.02,170,4936.38
19.98,0.02,175,4936.14
19.99,0.02,180,4939.95
19.98,0.02,185,4933.5
19.98,0.02,190,4934.54
19.98,0.02,195,4937.33
19.99,0.02,200,4936.87
19.99,0.02,205,4936.11
19.98,0.02,210,4935.25
19.98,0.02,215,4940.34
19.99,0.02,220,4940.06
19.99,0.02,225,4939.85
19.99,0.02,230,4942.53
19.99,0.02,235,4938.49
19.98,0.02,240,4938.76
19.99,0.03,0,4936.51
19.99,0.03,5,4938
19.99,0.03,10,4938.6
19.99,0.03,15,4936.24
19.99,0.03,20,4937.5
19.99,0.03,25,4938.31
19.99,0.03,30,4936.08
19.99,0.03,35,4941.69
19.99,0.03,40,4938.24
19.98,0.03,45,4939.55
19.99,0.03,50,4938.82
19.99,0.03,55,4941.55
19.98,0.03,60,4940.84
19.98,0.03,65,4940.07
19.99,0.03,70,4942.98
19.99,0.03,75,4940.16
19.98,0.03,78,4940.32
19.98,0.03,81,4940.44
19.98,0.03,84,4943.4
19.99,0.03,86,4941.05
19.99,0.03,88,4940.94
19.98,0.03,90,4941.57
19.98,0.03,92,4942.21
19.99,0.03,94,4943.35
19.98,0.03,96,4941.06
19.98,0.03,99,4938.86
19.98,0.03,102,4941.69
19.99,0.03,105,4941.57
19.98,0.03,110,4939.44
19.98,0.03,115,4938.82
19.98,0.03,120,4937.68
19.99,0.03,125,4939.03
19.99,0.03,130,4938.86
19.98,0.03,135,4933.29
19.98,0.03,140,4932.66
19.99,0.03,145,4935.23
19.99,0.03,150,4931.61
19.99,0.03,155,4933.97
19.99,0.03,160,4931.5
19.99,0.03,165,4930.47
19.99,0.03,170,4929.55
19.99,0.03,175,4930.19
19.99,0.03,180,4930.42
19.99,0.03,185,4932.15
19.99,0.03,190,4932.75
19.99,0.03,195,4928.65
19.99,0.03,200,4930.12
19.99,0.03,205,4938.04
19.99,0.03,210,4932.94
19.98,0.03,215,4933.64
19.99,0.03,220,4933.92
19.99,0.03,225,4937.86
19.99,0.03,230,4938.26
19.99,0.03,235,4940.22
19.99,0.03,240,4938.28
19.99,0.05,0,4927.39
19.99,0.05,5,4926.33
19.99,0.05,10,4923.78
19.99,0.05,15,4930.55
19.99,0.05,20,4928.38
19.99,0.05,25,4926.21
19.99,0.05,30,4931.15
19.99,0.05,35,4931.48
19.99,0.05,40,4928.58
19.98,0.05,45,4931.18
19.98,0.05,50,4935.71
19.99,0.05,55,4933.88
19.99,0.05,60,4937.07
19.98,0.05,65,4937.56
19.98,0.05,70,4936.47
19.98,0.05,75,4940.36
19.99,0.05,78,4941.43
19.98,0.05,81,4939.51
19.98,0.05,84,4940.95
19.98,0.05,86,4941.39
19.98,0.05,88,4939.63
19.98,0.05,90,4943.51
19.99,0.05,92,4942.76
19.98,0.05,94,4937.78
19.98,0.05,96,4939.78
19.98,0.05,99,4940.58
19.98,0.05,102,4939.72
19.98,0.05,105,4938.88
19.99,0.05,110,4938.9
19.99,0.05,115,4937.85
19.98,0.05,120,4932.32
19.98,0.05,125,4931.33
19.98,0.05,130,4925.74
19.99,0.05,135,4923
19.99,0.05,140,4923.53
19.99,0.05,145,4924.67
19.99,0.05,150,4919.73
19.98,0.05,155,4914.9
19.98,0.05,160,4916.06
19.98,0.05,165,4911.87
19.99,0.05,170,4914.71
19.98,0.05,175,4916.4
19.98,0.05,180,4912.31
19.99,0.05,185,4917.35
19.99,0.05,190,4916.35
19.99,0.05,195,4913.58
19.98,0.05,200,4914.42
19.99,0.05,205,4916.27
19.99,0.05,210,4920.21
19.99,0.05,215,4925.08
19.99,0.05,220,4923.91
19.99,0.05,225,4930.37
19.99,0.05,230,4931.31
19.99,0.05,235,4934.99
19.99,0.05,240,4931.76
19.99,0.07,0,4903.12
19.99,0.07,5,4904.63
19.99,0.07,10,4908.07
19.99,0.07,15,4910.45
19.99,0.07,20,4906.93
19.99,0.07,25,4909.65
19.99,0.07,30,4914.35
19.99,0.07,35,4915.59
19.99,0.07,40,4919.67
19.98,0.07,45,4923.26
19.98,0.07,50,4927.04
19.98,0.07,55,4933.01
19.98,0.07,60,4932.89
19.98,0.07,65,4934.24
19.99,0.07,70,4938.37
19.99,0.07,75,4937.79
19.99,0.07,78,4938.41
19.98,0.07,81,4939.78
19.98,0.07,84,4940.81
19.99,0.07,86,4938.71
19.98,0.07,88,4937.48
19.98,0.07,90,4940.91
19.98,0.07,92,4936.67
19.99,0.07,94,4938.72
19.98,0.07,96,4935.42
19.98,0.07,99,4936.39
19.98,0.07,102,4936.28
19.99,0.07,105,4935.46
19.99,0.07,110,4929.83
19.99,0.07,115,4924.32
19.98,0.07,120,4921.47
19.98,0.07,125,4919.83
