Temperature (K),Applied field (T),Applied field angle (°),Critical current per cm width (A/cm)
19.99,5,185,1374.46
19.99,5,190,1383.57
20,5,195,1355.23
20,5,200,1370.94
20,5,205,1366.44
20,5,210,1375.04
20,5,215,1376.2
20,5,220,1372.59
20,5,225,1426.21
20,5,230,1445.08
20,5,235,1494.74
20,5,240,1555.86
20,7,0,1121.54
19.99,7,5,1125.68
20,7,10,1103.16
20,7,15,1103.25
20,7,20,1110.1
20,7,25,1112.69
20,7,30,1122.93
20,7,35,1130.08
20,7,40,1147.95
20,7,45,1167.95
19.99,7,50,1177.52
19.99,7,55,1215.2
20,7,60,1249.19
20,7,65,1327.61
20,7,70,1409.79
19.99,7,75,1533.05
19.99,7,78,1687.04
20,7,81,1917.41
19.99,7,84,2319.8
20,7,86,2836.27
19.99,7,88,3644.44
19.98,7,90,4299.85
19.98,7,92,3840.11
20,7,94,2953.55
19.99,7,96,2347.14
20,7,99,1905.53
20,7,102,1680.22
20,7,105,1522.45
19.99,7,110,1343.2
20,7,115,1307.21
19.99,7,120,1244.5
19.99,7,125,1187.58
20,7,130,1157.78
20,7,135,1130.49
19.99,7,140,1114.39
20,7,145,1086.97
19.99,7,150,1078.22
20,7,155,1084.7
19.99,7,160,1084
20,7,165,1084.7
20,7,170,1102.28
20,7,175,1092.11
19.99,7,180,1120.08
20,7,185,1093.58
20,7,190,1085.12
20,7,195,1106.71
20,7,200,1110.76
20,7,205,1113.43
20,7,210,1117.67
20,7,215,1117.17
19.99,7,220,1150.53
20,7,225,1171.54
19.99,7,230,1180.64
20,7,235,1228.83
20,7,240,1278.02
19.99,8,0,1012.64
19.99,8,5,1029.94
20,8,10,1026.4
19.99,8,15,1016.3
20,8,20,1025.43
20,8,25,1024.2
20,8,30,1025.79
20,8,35,1051.73
20,8,40,1055.89
20,8,45,1073.47
20,8,50,1102.86
20,8,55,1128.12
20,8,60,1157.98
20,8,65,1199.05
20,8,70,1293.95
20,8,75,1387.07
20,8,78,1535.07
19.99,8,81,1750.75
20,8,84,2119.42
20,8,86,2590.8
19.99,8,88,3425.67
20.01,8,90,4273.35
19.99,8,92,3771.86
19.99,8,94,2749.55
20,8,96,2188.45
20,8,99,1771.03
20,8,102,1533.17
20,8,105,1400.59
20,8,110,1259.35
20,8,115,1202.85
20,8,120,1149.06
19.99,8,125,1099.38
20,8,130,1067.86
20,8,135,1043.5
20,8,140,1016.48
20,8,145,1004.74
20,8,150,999.36
20,8,155,974.03
20,8,160,995.65
20,8,165,994.28
20,8,170,1007.35
20,8,175,1007.79
20,8,180,1015.52
20,8,185,1002.52
20,8,190,1020.34
20,8,195,1005.81
20,8,200,1015.2
20,8,205,1026.84
20,8,210,1025.25
20,8,215,1026
19.99,8,220,1039.49
20,8,225,1065.8
20,8,230,1089.52
20,8,235,1118.77
20,8,240,1171.56
