Starting CMA-ES: 9 variables, budget 400 evaluations, target B >= 10.0 T, uniformity <= 1.0%, hoop <= 400 MPa, coil-coil face gap >= 3 mm

Parallel mode: 6 worker processes per generation.
  [ 155] OK     f=   1.330  a=39.2 b=54.4 gap=15.3 (face=6.6mm) n=[826, 516, 514, 854, 857, 339]  tape=1.330km B=18.11T unif=0.839% hoop=364MPa
  [ 156] INFEAS f=2690.927  a=32.8 b=56.6 gap=17.4 (face=10.8mm) n=[804, 116, 821, 888, 900, 502]  no evaluation (geometry pre-check)
  [ 157] viol   f=  42.691  a=61.0 b=80.4 gap=20.0 (face=16.0mm) n=[840, 385, 899, 827, 690, 74]  tape=1.832km B=12.74T unif=1.452% hoop=372MPa
  [ 158] INFEAS f=2656.741  a=46.6 b=45.2 gap=31.5 (face=39.1mm) n=[806, 188, 878, 662, 681, 459]  no evaluation (geometry pre-check)
  [ 159] INFEAS f=21427.590  a=69.1 b=51.6 gap=17.3 (face=10.7mm) n=[873, 138, 893, 818, 838, 225]  no evaluation (geometry pre-check)
  [ 160] viol   f=  95.910  a=61.3 b=72.1 gap=21.1 (face=18.1mm) n=[861, 339, 736, 358, 631, 462]  tape=1.634km B=11.19T unif=1.687% hoop=352MPa
  [ 161] INFEAS f=1289.456  a=41.3 b=43.6 gap=22.7 (face=21.3mm) n=[450, 126, 417, 840, 147, 61]  no evaluation (geometry pre-check)
  [ 162] INFEAS f=4173.270  a=21.5 b=57.4 gap=19.8 (face=15.7mm) n=[490, 516, 636, 488, 69, 346]  no evaluation (geometry pre-check)
  [ 163] viol   f= 261.195  a=41.7 b=58.5 gap=14.3 (face=4.5mm) n=[706, 228, 539, 366, 753, 222]  tape=1.051km B=12.67T unif=2.140% hoop=268MPa
  [ 164] viol   f= 283.821  a=36.2 b=47.0 gap=28.2 (face=32.5mm) n=[452, 841, 186, 539, 549, 88]  tape=0.881km B=9.61T unif=2.189% hoop=193MPa
  [ 165] viol   f=   3.551  a=55.8 b=99.4 gap=13.9 (face=3.7mm) n=[868, 222, 896, 443, 737, 227]  tape=1.933km B=11.80T unif=1.090% hoop=377MPa
  [ 166] viol   f=  10.917  a=48.1 b=63.5 gap=14.9 (face=5.7mm) n=[651, 514, 576, 860, 856, 211]  tape=1.480km B=14.88T unif=1.217% hoop=392MPa
  [ 167] INFEAS f=1757.824  a=45.8 b=46.4 gap=17.1 (face=10.1mm) n=[733, 252, 803, 421, 827, 91]  no evaluation (geometry pre-check)
  [ 168] viol   f=   1.141  a=40.2 b=68.4 gap=18.8 (face=13.6mm) n=[282, 410, 684, 369, 811, 55]  tape=1.097km B=9.85T unif=0.961% hoop=253MPa
  [ 169] viol   f=  15.749  a=77.6 b=90.6 gap=23.2 (face=22.4mm) n=[311, 199, 441, 889, 719, 245]  tape=1.700km B=7.35T unif=0.912% hoop=374MPa
  [ 170] INFEAS f=7448.793  a=17.9 b=44.0 gap=13.8 (face=3.6mm) n=[298, 142, 243, 529, 600, 318]  no evaluation (geometry pre-check)
  [ 171] viol   f=  23.092  a=77.5 b=108.8 gap=14.8 (face=5.5mm) n=[505, 615, 884, 158, 532, 304]  tape=2.033km B=6.78T unif=1.044% hoop=400MPa
  [ 172] INFEAS f=1198.560  a=48.5 b=51.2 gap=13.6 (face=3.2mm) n=[235, 102, 660, 502, 795, 114]  no evaluation (geometry pre-check)
  [ 173] INFEAS f=3996.404  a=55.7 b=52.0 gap=13.7 (face=3.4mm) n=[528, 185, 891, 711, 893, 222]  no evaluation (geometry pre-check)
  [ 174] viol   f=  10.342  a=80.1 b=114.6 gap=35.5 (face=47.0mm) n=[618, 436, 899, 713, 892, 102]  tape=2.488km B=8.02T unif=0.462% hoop=400MPa
  [ 175] viol   f=   3.266  a=46.1 b=58.8 gap=18.7 (face=13.4mm) n=[784, 383, 179, 675, 888, 519]  tape=1.341km B=13.30T unif=1.098% hoop=284MPa
  [ 176] INFEAS f=2403.143  a=66.4 b=65.5 gap=25.3 (face=26.6mm) n=[183, 869, 354, 599, 761, 192]  no evaluation (geometry pre-check)
  [ 177] viol   f=  88.111  a=67.0 b=89.4 gap=13.9 (face=3.8mm) n=[739, 57, 672, 494, 675, 207]  tape=1.537km B=9.33T unif=1.655% hoop=400MPa
  [ 178] OK     f=   1.743  a=44.6 b=94.8 gap=19.2 (face=14.5mm) n=[862, 287, 611, 503, 778, 234]  tape=1.743km B=11.71T unif=0.761% hoop=303MPa
  [ 179] viol   f=  44.853  a=37.2 b=100.7 gap=15.0 (face=5.9mm) n=[71, 63, 660, 234, 202, 168]  tape=0.765km B=5.30T unif=0.855% hoop=190MPa
  [ 180] viol   f=  29.139  a=38.6 b=67.1 gap=21.2 (face=18.3mm) n=[835, 582, 498, 292, 611, 428]  tape=1.343km B=12.54T unif=1.373% hoop=264MPa
  [ 181] viol   f=   4.779  a=65.6 b=106.2 gap=16.3 (face=8.6mm) n=[589, 145, 723, 489, 827, 375]  tape=1.962km B=8.81T unif=0.900% hoop=400MPa
  [ 182] viol   f= 130.244  a=56.8 b=73.7 gap=15.8 (face=7.5mm) n=[834, 377, 552, 900, 600, 479]  tape=1.784km B=12.92T unif=1.801% hoop=400MPa
  [ 183] viol   f=   9.269  a=68.0 b=98.3 gap=17.9 (face=11.8mm) n=[656, 257, 790, 504, 676, 65]  tape=1.733km B=8.83T unif=1.155% hoop=400MPa
  [ 184] viol   f=   2.011  a=55.2 b=106.8 gap=26.4 (face=28.7mm) n=[865, 794, 145, 632, 350, 531]  tape=1.992km B=9.90T unif=0.674% hoop=305MPa
  [ 185] OK     f=   1.404  a=43.9 b=70.9 gap=15.8 (face=7.6mm) n=[715, 110, 139, 807, 862, 784]  tape=1.404km B=13.54T unif=0.999% hoop=255MPa
  [ 186] OK     f=   1.612  a=47.2 b=82.8 gap=30.6 (face=37.1mm) n=[763, 691, 351, 687, 760, 223]  tape=1.612km B=10.56T unif=0.596% hoop=241MPa
  [ 187] viol   f=   3.931  a=64.6 b=90.7 gap=34.4 (face=44.8mm) n=[460, 363, 849, 717, 773, 531]  tape=2.044km B=9.03T unif=0.328% hoop=342MPa
  [ 188] viol   f=   8.463  a=78.2 b=116.5 gap=36.1 (face=48.2mm) n=[832, 375, 899, 541, 467, 873]  tape=2.729km B=8.31T unif=0.441% hoop=400MPa
  [ 189] viol   f=  12.090  a=67.7 b=99.8 gap=23.3 (face=22.6mm) n=[563, 132, 703, 412, 804, 161]  tape=1.669km B=7.72T unif=0.849% hoop=350MPa
  [ 190] viol   f=  22.303  a=61.4 b=107.1 gap=25.5 (face=27.1mm) n=[900, 228, 381, 358, 185, 454]  tape=1.633km B=6.79T unif=0.674% hoop=391MPa
  [ 191] OK     f=   1.810  a=53.8 b=79.2 gap=21.2 (face=18.3mm) n=[767, 504, 166, 872, 801, 712]  tape=1.810km B=12.85T unif=0.929% hoop=341MPa
  [ 192] INFEAS f=3210.157  a=29.1 b=48.7 gap=15.1 (face=6.2mm) n=[658, 493, 341, 814, 764, 754]  no evaluation (geometry pre-check)
  [ 193] viol   f=  14.317  a=73.0 b=121.1 gap=25.2 (face=26.4mm) n=[601, 729, 307, 573, 606, 349]  tape=2.179km B=7.54T unif=0.647% hoop=400MPa
  [ 194] OK     f=   1.931  a=62.7 b=72.6 gap=27.3 (face=30.6mm) n=[507, 748, 298, 827, 900, 850]  tape=1.931km B=12.06T unif=0.203% hoop=364MPa
  [ 195] viol   f=   2.063  a=63.6 b=93.6 gap=30.1 (face=36.3mm) n=[895, 626, 79, 839, 336, 828]  tape=1.996km B=9.82T unif=0.612% hoop=327MPa
  [ 196] viol   f=   4.321  a=68.3 b=100.2 gap=29.6 (face=35.2mm) n=[594, 788, 179, 529, 859, 642]  tape=2.152km B=8.96T unif=0.605% hoop=367MPa
  [ 197] OK     f=   1.694  a=40.8 b=94.6 gap=21.9 (face=19.8mm) n=[630, 337, 545, 736, 900, 76]  tape=1.694km B=10.50T unif=0.691% hoop=264MPa
  [ 198] viol   f=   8.916  a=37.2 b=75.5 gap=20.5 (face=16.9mm) n=[839, 271, 607, 640, 784, 799]  tape=1.642km B=15.45T unif=1.191% hoop=263MPa
  [ 199] OK     f=   1.888  a=36.6 b=83.4 gap=28.9 (face=33.8mm) n=[746, 705, 605, 786, 850, 523]  tape=1.888km B=12.82T unif=0.691% hoop=242MPa
  [ 200] viol   f=   1.794  a=37.9 b=76.2 gap=17.1 (face=10.2mm) n=[580, 554, 432, 607, 708, 659]  tape=1.473km B=14.36T unif=1.040% hoop=302MPa
  [ 201] INFEAS f=1002.737  a=35.7 b=82.9 gap=21.1 (face=18.2mm) n=[702, 582, 228, 817, 876, 342]  no evaluation (geometry pre-check)
  [ 202] OK     f=   1.470  a=49.3 b=71.9 gap=25.1 (face=26.3mm) n=[619, 738, 525, 640, 617, 269]  tape=1.470km B=11.79T unif=0.878% hoop=311MPa
  [ 203] OK     f=   1.589  a=43.6 b=91.8 gap=20.3 (face=16.5mm) n=[650, 458, 332, 644, 617, 569]  tape=1.589km B=11.85T unif=0.695% hoop=293MPa
  [ 204] INFEAS f=7176.806  a=28.4 b=75.3 gap=16.3 (face=8.7mm) n=[834, 655, 227, 849, 877, 421]  no evaluation (geometry pre-check)
  [ 205] INFEAS f=50445.002  a=14.5 b=45.9 gap=19.3 (face=14.5mm) n=[870, 531, 300, 610, 644, 634]  no evaluation (geometry pre-check)
  [ 206] OK     f=   2.178  a=40.1 b=96.7 gap=15.5 (face=7.1mm) n=[821, 705, 761, 750, 665, 661]  tape=2.178km B=18.33T unif=0.907% hoop=340MPa
  [ 207] viol   f=   2.879  a=35.5 b=93.9 gap=24.7 (face=25.3mm) n=[752, 780, 179, 651, 811, 558]  tape=1.804km B=12.67T unif=1.073% hoop=212MPa
  [ 208] OK     f=   1.883  a=51.6 b=90.9 gap=21.6 (face=19.3mm) n=[861, 893, 271, 898, 551, 181]  tape=1.883km B=12.90T unif=0.934% hoop=305MPa
  [ 209] INFEAS f=6753.203  a=24.1 b=91.0 gap=17.6 (face=11.1mm) n=[754, 442, 170, 640, 749, 558]  no evaluation (geometry pre-check)
  [ 210] viol   f=   3.072  a=44.2 b=80.5 gap=29.3 (face=34.5mm) n=[653, 314, 380, 534, 510, 877]  tape=1.589km B=9.14T unif=0.498% hoop=287MPa
  [ 211] viol   f=   6.417  a=40.2 b=62.8 gap=16.6 (face=9.3mm) n=[322, 828, 96, 886, 428, 389]  tape=1.175km B=12.39T unif=1.162% hoop=273MPa
  [ 212] viol   f=   7.410  a=32.5 b=85.3 gap=16.0 (face=7.9mm) n=[665, 113, 209, 567, 721, 147]  tape=1.097km B=10.32T unif=1.178% hoop=177MPa
  [ 213] viol   f=   9.269  a=53.9 b=85.6 gap=22.9 (face=21.8mm) n=[724, 842, 652, 600, 307, 117]  tape=1.651km B=11.08T unif=1.195% hoop=342MPa
  [ 214] viol   f=  42.106  a=38.8 b=58.0 gap=28.9 (face=33.8mm) n=[536, 889, 262, 870, 900, 318]  tape=1.347km B=11.80T unif=1.451% hoop=214MPa
  [ 215] OK     f=   1.920  a=54.3 b=83.6 gap=23.2 (face=22.4mm) n=[702, 889, 429, 822, 896, 177]  tape=1.920km B=12.96T unif=0.883% hoop=346MPa
  [ 216] OK     f=   1.510  a=40.1 b=75.1 gap=26.4 (face=28.9mm) n=[354, 859, 402, 817, 403, 568]  tape=1.510km B=11.13T unif=0.693% hoop=267MPa
  [ 217] viol   f=   4.912  a=45.0 b=90.3 gap=23.5 (face=23.1mm) n=[423, 742, 132, 485, 833, 50]  tape=1.364km B=8.67T unif=0.642% hoop=239MPa
  [ 218] viol   f=  10.083  a=44.1 b=72.7 gap=16.6 (face=9.2mm) n=[528, 356, 601, 701, 624, 595]  tape=1.424km B=13.46T unif=1.208% hoop=323MPa
  [ 219] viol   f=   1.322  a=34.4 b=76.4 gap=19.8 (face=15.6mm) n=[681, 588, 450, 690, 599, 141]  tape=1.282km B=13.71T unif=1.014% hoop=231MPa
  [ 220] OK     f=   1.717  a=46.5 b=71.1 gap=27.4 (face=30.7mm) n=[872, 771, 630, 898, 501, 320]  tape=1.717km B=13.32T unif=0.706% hoop=288MPa
  [ 221] INFEAS f=12474.630  a=26.6 b=82.8 gap=21.7 (face=19.3mm) n=[900, 580, 400, 806, 834, 292]  no evaluation (geometry pre-check)
  [ 222] viol   f=   7.114  a=53.6 b=100.4 gap=17.5 (face=11.1mm) n=[331, 752, 515, 276, 476, 211]  tape=1.492km B=8.32T unif=0.912% hoop=332MPa
  [ 223] viol   f= 137.306  a=49.5 b=61.5 gap=14.9 (face=5.7mm) n=[285, 150, 640, 746, 630, 105]  tape=1.019km B=10.53T unif=1.825% hoop=259MPa
  [ 224] OK     f=   1.870  a=48.1 b=100.9 gap=20.3 (face=16.6mm) n=[811, 552, 470, 783, 729, 91]  tape=1.870km B=12.00T unif=0.617% hoop=327MPa
  [ 225] INFEAS f=3233.413  a=31.0 b=77.1 gap=18.9 (face=13.9mm) n=[579, 867, 244, 797, 766, 234]  no evaluation (geometry pre-check)
  [ 226] OK     f=   1.466  a=44.6 b=72.1 gap=27.5 (face=30.9mm) n=[451, 712, 444, 757, 896, 75]  tape=1.466km B=10.59T unif=0.591% hoop=271MPa
  [ 227] INFEAS f=16205.646  a=25.0 b=73.1 gap=21.4 (face=18.8mm) n=[899, 878, 278, 877, 856, 154]  no evaluation (geometry pre-check)
  [ 228] OK     f=   1.171  a=42.1 b=67.5 gap=25.4 (face=26.9mm) n=[425, 625, 405, 698, 616, 161]  tape=1.171km B=10.35T unif=0.715% hoop=242MPa
  [ 229] OK     f=   1.715  a=45.1 b=77.7 gap=26.2 (face=28.4mm) n=[529, 894, 768, 883, 147, 588]  tape=1.715km B=12.83T unif=0.770% hoop=283MPa
  [ 230] OK     f=   1.620  a=42.1 b=95.4 gap=17.5 (face=11.1mm) n=[676, 792, 113, 739, 534, 300]  tape=1.620km B=12.34T unif=0.618% hoop=269MPa
  [ 231] viol   f=   4.880  a=58.9 b=78.2 gap=29.7 (face=35.4mm) n=[396, 900, 68, 726, 729, 99]  tape=1.443km B=8.69T unif=0.491% hoop=324MPa
  [ 232] viol   f=   5.569  a=41.8 b=50.9 gap=23.9 (face=23.8mm) n=[382, 405, 204, 773, 502, 87]  tape=0.848km B=8.46T unif=0.615% hoop=270MPa
  [ 233] INFEAS f=10203.748  a=27.6 b=81.2 gap=17.0 (face=10.0mm) n=[508, 900, 130, 874, 338, 636]  no evaluation (geometry pre-check)
  [ 234] OK     f=   1.641  a=44.2 b=75.7 gap=35.1 (face=46.3mm) n=[890, 722, 579, 563, 734, 159]  tape=1.641km B=10.26T unif=0.343% hoop=281MPa
  [ 235] viol   f=   3.652  a=45.4 b=83.9 gap=32.3 (face=40.6mm) n=[553, 755, 238, 792, 593, 228]  tape=1.514km B=8.97T unif=0.503% hoop=222MPa
  [ 236] OK     f=   1.379  a=38.5 b=91.5 gap=18.3 (face=12.5mm) n=[481, 587, 112, 743, 485, 345]  tape=1.379km B=10.28T unif=0.674% hoop=250MPa
  [ 237] viol   f=  14.177  a=48.9 b=101.3 gap=23.0 (face=22.1mm) n=[93, 584, 394, 529, 753, 106]  tape=1.386km B=7.47T unif=0.563% hoop=253MPa
  [ 238] OK     f=   1.729  a=51.4 b=68.0 gap=22.3 (face=20.5mm) n=[886, 421, 687, 899, 895, 321]  tape=1.729km B=14.36T unif=0.790% hoop=311MPa
  [ 239] viol   f=  10.047  a=53.7 b=94.3 gap=30.8 (face=37.6mm) n=[443, 550, 621, 342, 900, 217]  tape=1.750km B=7.96T unif=0.470% hoop=313MPa
  [ 240] INFEAS f=1060.225  a=35.8 b=66.7 gap=22.1 (face=20.2mm) n=[624, 196, 613, 894, 720, 292]  no evaluation (geometry pre-check)
  [ 241] viol   f=   8.152  a=46.7 b=94.9 gap=24.8 (face=25.5mm) n=[542, 427, 429, 331, 629, 154]  tape=1.314km B=8.15T unif=0.707% hoop=313MPa
  [ 242] viol   f= 103.502  a=36.3 b=65.7 gap=19.7 (face=15.4mm) n=[830, 624, 149, 885, 325, 249]  tape=1.214km B=12.96T unif=1.715% hoop=221MPa
  [ 243] viol   f=   1.627  a=42.1 b=88.6 gap=29.1 (face=34.3mm) n=[719, 672, 352, 452, 714, 84]  tape=1.428km B=9.68T unif=0.690% hoop=234MPa
  [ 244] viol   f=   5.035  a=63.2 b=109.0 gap=22.8 (face=21.5mm) n=[701, 425, 130, 672, 749, 390]  tape=1.884km B=8.74T unif=0.708% hoop=344MPa
  [ 245] INFEAS f=4857.479  a=30.5 b=70.3 gap=18.9 (face=13.8mm) n=[882, 500, 107, 890, 547, 108]  no evaluation (geometry pre-check)
  [ 246] viol   f=   1.999  a=48.8 b=104.8 gap=24.2 (face=24.5mm) n=[646, 546, 180, 746, 892, 406]  tape=1.997km B=9.97T unif=0.515% hoop=307MPa
  [ 247] OK     f=   1.325  a=44.3 b=70.4 gap=23.7 (face=23.4mm) n=[455, 575, 392, 831, 538, 194]  tape=1.325km B=10.16T unif=0.735% hoop=293MPa
  [ 248] OK     f=   2.030  a=50.6 b=99.8 gap=26.3 (face=28.5mm) n=[846, 339, 530, 518, 877, 482]  tape=2.030km B=10.36T unif=0.561% hoop=372MPa
  [ 249] OK     f=   1.591  a=38.4 b=81.1 gap=18.4 (face=12.7mm) n=[746, 391, 559, 701, 887, 161]  tape=1.591km B=12.85T unif=0.857% hoop=285MPa
  [ 250] viol   f=   2.017  a=46.7 b=66.4 gap=32.6 (face=41.1mm) n=[533, 623, 417, 867, 741, 191]  tape=1.429km B=9.46T unif=0.373% hoop=261MPa
  [ 251] OK     f=   1.189  a=44.6 b=69.3 gap=25.2 (face=26.5mm) n=[418, 787, 119, 784, 618, 144]  tape=1.189km B=10.15T unif=0.665% hoop=222MPa
  [ 252] OK     f=   1.683  a=45.5 b=82.9 gap=31.9 (face=39.8mm) n=[844, 610, 551, 592, 879, 67]  tape=1.683km B=10.30T unif=0.532% hoop=275MPa
  [ 253] viol   f=  11.133  a=60.7 b=99.6 gap=29.3 (face=34.7mm) n=[443, 566, 599, 499, 582, 78]  tape=1.530km B=7.81T unif=0.668% hoop=329MPa
  [ 254] viol   f=   4.249  a=37.0 b=71.9 gap=16.8 (face=9.7mm) n=[223, 383, 639, 642, 712, 58]  tape=1.075km B=11.11T unif=1.126% hoop=221MPa
  [ 255] OK     f=   1.451  a=43.8 b=83.2 gap=19.8 (face=15.7mm) n=[673, 376, 350, 859, 536, 143]  tape=1.451km B=10.19T unif=0.829% hoop=321MPa
  [ 256] viol   f=   1.922  a=45.2 b=90.6 gap=28.9 (face=33.7mm) n=[587, 578, 421, 623, 782, 343]  tape=1.702km B=9.67T unif=0.544% hoop=278MPa
  [ 257] OK     f=   1.714  a=40.2 b=91.0 gap=17.3 (face=10.7mm) n=[566, 429, 499, 757, 843, 289]  tape=1.714km B=12.17T unif=0.876% hoop=330MPa
  [ 258] OK     f=   1.969  a=41.5 b=103.0 gap=21.7 (face=19.4mm) n=[631, 633, 541, 789, 899, 75]  tape=1.969km B=11.93T unif=0.554% hoop=319MPa
  [ 259] OK     f=   1.421  a=44.4 b=87.2 gap=21.5 (face=19.1mm) n=[726, 501, 347, 735, 550, 82]  tape=1.421km B=10.72T unif=0.809% hoop=269MPa
  [ 260] OK     f=   1.802  a=43.8 b=81.6 gap=22.3 (face=20.6mm) n=[879, 663, 470, 882, 685, 289]  tape=1.802km B=13.89T unif=0.936% hoop=299MPa
  [ 261] viol   f=  13.054  a=53.5 b=87.3 gap=36.5 (face=48.9mm) n=[481, 622, 266, 798, 655, 246]  tape=1.596km B=7.61T unif=0.287% hoop=262MPa
  [ 262] OK     f=   1.680  a=54.5 b=81.9 gap=29.1 (face=34.2mm) n=[822, 705, 207, 864, 714, 145]  tape=1.680km B=10.45T unif=0.619% hoop=277MPa
  [ 263] viol   f=   2.018  a=39.9 b=80.3 gap=17.5 (face=11.0mm) n=[494, 651, 184, 576, 476, 150]  tape=1.129km B=10.37T unif=1.067% hoop=238MPa
  [ 264] viol   f=   1.997  a=38.5 b=61.8 gap=30.8 (face=37.5mm) n=[545, 889, 213, 805, 371, 104]  tape=1.140km B=9.35T unif=0.690% hoop=198MPa
  [ 265] OK     f=   1.742  a=52.2 b=83.8 gap=25.0 (face=26.0mm) n=[517, 813, 376, 887, 798, 126]  tape=1.742km B=11.28T unif=0.736% hoop=319MPa
  [ 266] OK     f=   1.570  a=50.1 b=94.7 gap=18.2 (face=12.3mm) n=[631, 502, 316, 773, 652, 71]  tape=1.570km B=10.15T unif=0.908% hoop=322MPa
  [ 267] viol   f=   1.583  a=43.2 b=84.6 gap=22.3 (face=20.7mm) n=[540, 607, 236, 900, 594, 56]  tape=1.460km B=9.75T unif=0.811% hoop=279MPa
  [ 268] viol   f=   4.617  a=49.1 b=87.8 gap=22.9 (face=21.8mm) n=[360, 732, 98, 827, 410, 261]  tape=1.393km B=8.73T unif=0.804% hoop=261MPa
  [ 269] viol   f=   1.236  a=44.2 b=79.8 gap=18.9 (face=13.8mm) n=[535, 484, 78, 727, 692, 151]  tape=1.211km B=9.89T unif=0.947% hoop=263MPa
  [ 270] viol   f=   1.771  a=51.9 b=83.0 gap=25.7 (face=27.3mm) n=[648, 503, 330, 740, 641, 267]  tape=1.529km B=9.65T unif=0.817% hoop=282MPa
  [ 271] OK     f=   1.369  a=46.2 b=83.1 gap=19.5 (face=15.1mm) n=[443, 533, 275, 730, 701, 188]  tape=1.369km B=10.10T unif=0.808% hoop=293MPa
  [ 272] OK     f=   1.517  a=48.1 b=82.0 gap=19.9 (face=15.7mm) n=[435, 490, 185, 731, 817, 446]  tape=1.517km B=10.36T unif=0.818% hoop=331MPa
  [ 273] viol   f=   7.107  a=42.0 b=82.2 gap=18.4 (face=12.8mm) n=[305, 497, 77, 581, 870, 117]  tape=1.198km B=8.28T unif=0.898% hoop=241MPa
  [ 274] OK     f=   1.574  a=44.9 b=87.4 gap=16.6 (face=9.2mm) n=[533, 417, 406, 817, 884, 68]  tape=1.574km B=11.09T unif=0.913% hoop=393MPa
  [ 275] OK     f=   1.659  a=59.8 b=79.7 gap=26.9 (face=29.9mm) n=[567, 751, 344, 704, 737, 320]  tape=1.659km B=10.55T unif=0.771% hoop=344MPa
  [ 276] OK     f=   1.439  a=44.0 b=86.1 gap=20.6 (face=17.2mm) n=[706, 364, 153, 747, 614, 397]  tape=1.439km B=10.70T unif=0.869% hoop=255MPa
  [ 277] viol   f=   5.597  a=48.8 b=85.3 gap=21.4 (face=18.8mm) n=[479, 515, 143, 548, 668, 151]  tape=1.225km B=8.52T unif=0.932% hoop=289MPa
  [ 278] viol   f=   1.830  a=51.7 b=99.0 gap=24.7 (face=25.5mm) n=[379, 738, 473, 729, 600, 370]  tape=1.805km B=9.89T unif=0.604% hoop=313MPa
  [ 279] viol   f=   5.546  a=54.4 b=91.3 gap=18.0 (face=12.0mm) n=[806, 509, 252, 728, 693, 284]  tape=1.737km B=11.17T unif=1.138% hoop=358MPa
  [ 280] OK     f=   1.646  a=43.1 b=88.0 gap=18.2 (face=12.4mm) n=[656, 524, 162, 892, 657, 341]  tape=1.646km B=11.36T unif=0.806% hoop=304MPa
  [ 281] viol   f=   3.056  a=47.1 b=93.5 gap=17.2 (face=10.3mm) n=[410, 603, 87, 615, 860, 145]  tape=1.466km B=9.11T unif=0.781% hoop=290MPa
  [ 282] OK     f=   1.546  a=45.3 b=86.2 gap=20.6 (face=17.3mm) n=[365, 537, 154, 714, 831, 490]  tape=1.546km B=10.12T unif=0.747% hoop=294MPa
  [ 283] OK     f=   1.996  a=54.5 b=100.2 gap=19.6 (face=15.2mm) n=[728, 483, 220, 900, 648, 444]  tape=1.996km B=10.59T unif=0.774% hoop=363MPa
  [ 284] OK     f=   1.856  a=53.2 b=93.1 gap=18.9 (face=13.8mm) n=[602, 566, 97, 896, 766, 477]  tape=1.856km B=10.87T unif=0.800% hoop=382MPa
  [ 285] OK     f=   1.281  a=42.8 b=74.9 gap=18.6 (face=13.3mm) n=[481, 403, 200, 631, 775, 353]  tape=1.281km B=10.19T unif=0.865% hoop=285MPa
  [ 286] viol   f=   2.719  a=51.1 b=74.9 gap=22.6 (face=21.1mm) n=[564, 446, 218, 738, 636, 62]  tape=1.214km B=9.13T unif=1.002% hoop=286MPa
  [ 287] viol   f=   1.663  a=43.0 b=77.5 gap=19.8 (face=15.6mm) n=[355, 432, 370, 578, 889, 353]  tape=1.439km B=9.66T unif=0.792% hoop=356MPa
  [ 288] viol   f=   4.334  a=41.1 b=78.4 gap=23.4 (face=22.9mm) n=[273, 603, 152, 601, 612, 217]  tape=1.063km B=8.72T unif=0.837% hoop=191MPa
  [ 289] OK     f=   1.562  a=46.9 b=92.0 gap=20.8 (face=17.6mm) n=[746, 404, 368, 560, 646, 279]  tape=1.562km B=10.39T unif=0.839% hoop=332MPa
  [ 290] OK     f=   1.784  a=44.7 b=88.1 gap=18.2 (face=12.5mm) n=[826, 378, 337, 842, 823, 433]  tape=1.784km B=13.28T unif=0.792% hoop=325MPa
  [ 291] viol   f=   1.428  a=44.6 b=81.2 gap=17.5 (face=11.0mm) n=[257, 548, 155, 745, 586, 422]  tape=1.288km B=9.74T unif=0.945% hoop=262MPa
  [ 292] viol   f=   4.234  a=41.1 b=65.4 gap=16.5 (face=9.0mm) n=[505, 451, 153, 734, 832, 297]  tape=1.215km B=11.49T unif=1.123% hoop=299MPa
  [ 293] viol   f=   7.123  a=41.9 b=71.3 gap=15.5 (face=6.9mm) n=[396, 388, 243, 596, 768, 100]  tape=1.088km B=9.52T unif=1.167% hoop=330MPa
  [ 294] OK     f=   1.468  a=45.9 b=84.6 gap=20.0 (face=16.0mm) n=[681, 483, 252, 720, 659, 293]  tape=1.468km B=11.22T unif=0.954% hoop=285MPa
  [ 295] OK     f=   1.567  a=44.1 b=82.8 gap=23.6 (face=23.3mm) n=[536, 566, 191, 764, 621, 689]  tape=1.567km B=10.98T unif=0.693% hoop=279MPa
  [ 296] viol   f=  14.402  a=46.0 b=89.6 gap=26.1 (face=28.1mm) n=[402, 444, 120, 507, 576, 284]  tape=1.152km B=7.43T unif=0.603% hoop=241MPa
  [ 297] OK     f=   1.638  a=49.0 b=83.8 gap=19.6 (face=15.2mm) n=[409, 479, 523, 816, 809, 289]  tape=1.638km B=11.23T unif=0.824% hoop=375MPa
  [ 298] viol   f=   2.368  a=35.7 b=77.7 gap=23.3 (face=22.7mm) n=[441, 465, 284, 707, 625, 143]  tape=1.159km B=9.22T unif=0.780% hoop=219MPa
  [ 299] OK     f=   1.180  a=38.0 b=63.5 gap=22.0 (face=20.1mm) n=[567, 608, 318, 727, 729, 227]  tape=1.180km B=12.33T unif=0.800% hoop=235MPa
  [ 300] viol   f=   2.061  a=51.2 b=94.9 gap=18.3 (face=12.7mm) n=[501, 528, 219, 728, 716, 107]  tape=1.486km B=9.46T unif=0.863% hoop=338MPa
  [ 301] viol   f=   1.362  a=43.2 b=78.2 gap=22.8 (face=21.7mm) n=[615, 833, 158, 810, 508, 94]  tape=1.358km B=11.09T unif=1.005% hoop=242MPa
  [ 302] viol   f=   9.232  a=42.2 b=70.1 gap=20.4 (face=16.8mm) n=[555, 572, 246, 677, 562, 221]  tape=1.161km B=11.10T unif=1.201% hoop=254MPa
  [ 303] viol   f=   2.477  a=39.7 b=59.3 gap=19.6 (face=15.2mm) n=[541, 626, 309, 791, 673, 172]  tape=1.155km B=12.58T unif=1.081% hoop=262MPa
  [ 304] OK     f=   1.426  a=37.3 b=80.6 gap=18.9 (face=13.7mm) n=[480, 493, 200, 616, 809, 490]  tape=1.426km B=11.05T unif=0.737% hoop=295MPa
