Starting CMA-ES: 9 variables, budget 400 evaluations, target B >= 10.0 T, uniformity <= 1.0%, hoop <= 400 MPa, coil-coil face gap >= 3 mm

Parallel mode: 6 worker processes per generation.
  [  38] INFEAS f=1190.006  a=24.7 b=45.1 gap=17.9 (face=11.9mm) n=[109, 431, 409, 151, 613, 332]  no evaluation (geometry pre-check)
  [  39] viol   f=2256.813  a=26.9 b=41.5 gap=13.7 (face=3.3mm) n=[542, 378, 109, 172, 119, 196]  tape=0.413km B=9.91T unif=4.359% hoop=137MPa
  [  40] INFEAS f=1056.830  a=25.1 b=28.9 gap=13.7 (face=3.4mm) n=[574, 334, 159, 129, 264, 139]  no evaluation (geometry pre-check)
  [  41] INFEAS f=2019.026  a=40.7 b=40.6 gap=23.1 (face=22.2mm) n=[70, 756, 663, 346, 281, 81]  no evaluation (geometry pre-check)
  [  42] INFEAS f=11731.106  a=30.5 b=21.8 gap=24.6 (face=25.2mm) n=[306, 348, 742, 876, 264, 208]  no evaluation (geometry pre-check)
  [  43] INFEAS f=28894.892  a=37.6 b=16.2 gap=13.6 (face=3.2mm) n=[830, 448, 557, 398, 233, 720]  no evaluation (geometry pre-check)
  [  44] viol   f= 668.974  a=37.1 b=51.1 gap=14.0 (face=4.1mm) n=[160, 586, 565, 211, 366, 286]  tape=0.705km B=11.15T unif=2.828% hoop=201MPa
  [  45] viol   f=  38.447  a=34.8 b=50.5 gap=23.5 (face=23.0mm) n=[163, 254, 679, 628, 207, 524]  tape=0.787km B=9.36T unif=1.429% hoop=171MPa
  [  46] viol   f=   8.980  a=36.0 b=42.3 gap=13.6 (face=3.2mm) n=[313, 369, 620, 175, 212, 273]  tape=0.599km B=10.14T unif=1.205% hoop=234MPa
  [  47] INFEAS f=6684.014  a=26.6 b=55.2 gap=16.5 (face=8.9mm) n=[66, 821, 406, 363, 252, 173]  no evaluation (geometry pre-check)
  [  48] INFEAS f=2026.987  a=30.7 b=40.5 gap=19.1 (face=14.2mm) n=[163, 820, 691, 54, 255, 92]  no evaluation (geometry pre-check)
